Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.85,7.4,5.9,5.1,2,6.1,3.066666667,5466,QURU2,0.5925,3.238494032,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.08,5.4,5.0,5.1,2,5.2,2.583333333,2264,QURU2,0.5925,1.341599471,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.61,5.6,6.1,5.7,3,5.8,2.9,1612,QURU3,0.4304,0.6936621,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,Stump- ACRU,0.33,5.1,5.1,5.0,2,5.1,2.533333333,665,Stump- ACRU2,0.4090,0.272127101,2,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,Stump- ACRU,0.40,17.5,18.3,18.3,2,18.0,9.016666667,10216,Stump- ACRU2,0.4090,4.178546134,2,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,Stump- PIRE,0.23,31.0,30.0,35.8,2,32.3,16.13333333,18807,Stump- PIRE2,0.3780,7.109150731,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,Stump- QURU,0.32,51.0,45.5,43.0,2,46.5,23.25,54343,Stump- QURU2,0.5925,32.19838731,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,0.40,8.7,9.1,8.2,2,8.7,4.333333333,2360,ACRU2,0.4090,0.965111226,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,2.81,6.9,8.8,9.2,2,8.3,4.15,15204,ACRU2,0.4090,6.218357608,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,0.39,32.2,36.6,34.4,2,34.4,17.2,36247,ACRU2,0.4090,14.8249993,0,,,,,,,,,,,,,,,
