"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"113","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"126","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"128","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"215","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"216","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"246","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"247","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"269","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"408","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"425","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"429","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"487","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"515","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"530","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"546","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
