Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
105,BS34A,,Acer saccharum,ACSA,    465E,,1982,,1.5,3.8,3.9,
106,BS34A,,Acer saccharum,ACSA,    498B,,1982,,1.5,3.8,3.9,
107,BS34A,,Acer saccharum,ACSA,    594A,,1982,,1.5,3.8,3.9,
108,BS34A,,Acer saccharum,ACSA,    623D,,1982,,1.5,3.8,3.9,
109,BS34A,,Acer saccharum,ACSA,    647A,,1982,,1.5,3.8,3.9,
110,BS34A,,Acer saccharum,ACSA,22,,1934,,1.6,4.1,4.5,
111,BS34A,,Acer saccharum,ACSA,67,,1934,,1.6,4.1,4.5,
112,BS34A,,Acer saccharum,ACSA,90,,1934,,1.6,4.1,4.5,
113,BS34A,,Acer saccharum,ACSA,113,,1934,,1.6,4.1,4.5,
114,BS34A,,Acer saccharum,ACSA,126,,1934,,1.6,4.1,4.5,
115,BS34A,,Acer saccharum,ACSA,128,,1934,,1.6,4.1,4.5,
116,BS34A,,Acer saccharum,ACSA,215,,1934,,1.6,4.1,4.5,
117,BS34A,,Acer saccharum,ACSA,216,,1934,,1.6,4.1,4.5,
118,BS34A,,Acer saccharum,ACSA,246,,1934,,1.6,4.1,4.5,
119,BS34A,,Acer saccharum,ACSA,247,,1934,,1.6,4.1,4.5,
120,BS34A,,Acer saccharum,ACSA,269,,1934,,1.6,4.1,4.5,
121,BS34A,,Acer saccharum,ACSA,408,,1934,,1.6,4.1,4.5,
122,BS34A,,Acer saccharum,ACSA,425,,1934,,1.6,4.1,4.5,
123,BS34A,,Acer saccharum,ACSA,429,,1934,,1.6,4.1,4.5,
124,BS34A,,Acer saccharum,ACSA,487,,1934,,1.6,4.1,4.5,
125,BS34A,,Acer saccharum,ACSA,515,,1934,,1.6,4.1,4.5,
126,BS34A,,Acer saccharum,ACSA,530,,1934,,1.6,4.1,4.5,
127,BS34A,,Acer saccharum,ACSA,546,,1934,,1.6,4.1,4.5,
128,BS34A,,Acer saccharum,ACSA,554,,1934,,1.6,4.1,4.5,
129,BS34A,,Acer saccharum,ACSA,555,,1934,,1.6,4.1,4.5,
130,BS34A,,Acer saccharum,ACSA,27,,1939,,1.6,4.1,4.5,
131,BS34A,,Acer saccharum,ACSA,178,,1939,,1.6,4.1,4.5,
132,BS34A,,Acer saccharum,ACSA,220,,1939,,1.6,4.1,4.5,
133,BS34A,,Acer saccharum,ACSA,302,,1939,,1.6,4.1,4.5,
134,BS34A,,Acer saccharum,ACSA,304,,1939,,1.6,4.1,4.5,
135,BS34A,,Acer saccharum,ACSA,313,,1939,,1.6,4.1,4.5,
136,BS34A,,Acer saccharum,ACSA,360,,1939,,1.6,4.1,4.5,
137,BS34A,,Acer saccharum,ACSA,404,,1939,,1.6,4.1,4.5,
138,BS34A,,Acer saccharum,ACSA,441,,1939,,1.6,4.1,4.5,
139,BS34A,,Acer saccharum,ACSA,463,,1939,,1.6,4.1,4.5,
140,BS34A,,Acer saccharum,ACSA,507,,1939,,1.6,4.1,4.5,
141,BS34A,,Acer saccharum,ACSA,531,,1939,,1.6,4.1,4.5,
142,BS34A,,Acer saccharum,ACSA,549,,1939,,1.6,4.1,4.5,
143,BS34A,,Acer saccharum,ACSA,559,,1939,,1.6,4.1,4.5,
144,BS34A,,Acer saccharum,ACSA,641,,1939,,1.6,4.1,4.5,
145,BS34A,,Acer saccharum,ACSA,642,,1939,,1.6,4.1,4.5,
146,BS34A,,Acer saccharum,ACSA,648,,1939,,1.6,4.1,4.5,
147,BS34A,,Acer saccharum,ACSA,649,,1939,,1.6,4.1,4.5,
148,BS34A,,Acer saccharum,ACSA,180,,1944,,1.6,4.1,4.5,
149,BS34A,,Acer saccharum,ACSA,467,,1944,,1.6,4.1,4.5,
150,BS34A,,Acer saccharum,ACSA,141,,1949,,1.6,4.1,4.5,
151,BS34A,,Acer saccharum,ACSA,448,,1949,,1.6,4.1,4.5,
152,BS34A,,Acer saccharum,ACSA,301,,1954,,1.6,4.1,4.5,
153,BS34A,,Acer saccharum,ACSA,313,,1954,,1.6,4.1,4.5,
154,BS34A,,Acer saccharum,ACSA,448,,1954,,1.6,4.1,4.5,
155,BS34A,,Acer saccharum,ACSA,     32A,,1982,,1.6,4.1,4.5,
156,BS34A,,Acer saccharum,ACSA,     64B,,1982,,1.6,4.1,4.5,
157,BS34A,,Acer saccharum,ACSA,    153A,,1982,,1.6,4.1,4.5,
158,BS34A,,Acer saccharum,ACSA,    173C,,1982,,1.6,4.1,4.5,
159,BS34A,,Acer saccharum,ACSA,    226B,,1982,,1.6,4.1,4.5,
160,BS34A,,Acer saccharum,ACSA,    328C,,1982,,1.6,4.1,4.5,
161,BS34A,,Acer saccharum,ACSA,    351A,,1982,,1.6,4.1,4.5,
162,BS34A,,Acer saccharum,ACSA,    351B,,1982,,1.6,4.1,4.5,
163,BS34A,,Acer saccharum,ACSA,    379A,,1982,,1.6,4.1,4.5,
164,BS34A,,Acer saccharum,ACSA,    397B,,1982,,1.6,4.1,4.5,
165,BS34A,,Acer saccharum,ACSA,    530A,,1982,,1.6,4.1,4.5,
166,BS34A,,Acer saccharum,ACSA,    601A,,1982,,1.6,4.1,4.5,
167,BS34A,,Acer saccharum,ACSA,98,,1934,,1.7,4.3,5.2,
168,BS34A,,Acer saccharum,ACSA,111,,1934,,1.7,4.3,5.2,
169,BS34A,,Acer saccharum,ACSA,131,,1934,,1.7,4.3,5.2,
170,BS34A,,Acer saccharum,ACSA,137,,1934,,1.7,4.3,5.2,
171,BS34A,,Acer saccharum,ACSA,139,,1934,,1.7,4.3,5.2,
172,BS34A,,Acer saccharum,ACSA,234,,1934,,1.7,4.3,5.2,
173,BS34A,,Acer saccharum,ACSA,238,,1934,,1.7,4.3,5.2,
174,BS34A,,Acer saccharum,ACSA,253,,1934,,1.7,4.3,5.2,
175,BS34A,,Acer saccharum,ACSA,350,,1934,,1.7,4.3,5.2,
176,BS34A,,Acer saccharum,ACSA,362,,1934,,1.7,4.3,5.2,
177,BS34A,,Acer saccharum,ACSA,436,,1934,,1.7,4.3,5.2,
178,BS34A,,Acer saccharum,ACSA,459,,1934,,1.7,4.3,5.2,
179,BS34A,,Acer saccharum,ACSA,482,,1934,,1.7,4.3,5.2,
180,BS34A,,Acer saccharum,ACSA,483,,1934,,1.7,4.3,5.2,
181,BS34A,,Acer saccharum,ACSA,494,,1934,,1.7,4.3,5.2,
182,BS34A,,Acer saccharum,ACSA,499,,1934,,1.7,4.3,5.2,
183,BS34A,,Acer saccharum,ACSA,500,,1934,,1.7,4.3,5.2,
184,BS34A,,Acer saccharum,ACSA,521,,1934,,1.7,4.3,5.2,
185,BS34A,,Acer saccharum,ACSA,527,,1934,,1.7,4.3,5.2,
186,BS34A,,Acer saccharum,ACSA,640,,1934,,1.7,4.3,5.2,
187,BS34A,,Acer saccharum,ACSA,90,,1939,,1.7,4.3,5.2,
188,BS34A,,Acer saccharum,ACSA,130,,1939,,1.7,4.3,5.2,
189,BS34A,,Acer saccharum,ACSA,180,,1939,,1.7,4.3,5.2,
190,BS34A,,Acer saccharum,ACSA,184,,1939,,1.7,4.3,5.2,
191,BS34A,,Acer saccharum,ACSA,215,,1939,,1.7,4.3,5.2,
192,BS34A,,Acer saccharum,ACSA,219,,1939,,1.7,4.3,5.2,
193,BS34A,,Acer saccharum,ACSA,238,,1939,,1.7,4.3,5.2,
194,BS34A,,Acer saccharum,ACSA,246,,1939,,1.7,4.3,5.2,
195,BS34A,,Acer saccharum,ACSA,247,,1939,,1.7,4.3,5.2,
196,BS34A,,Acer saccharum,ACSA,265,,1939,,1.7,4.3,5.2,
197,BS34A,,Acer saccharum,ACSA,269,,1939,,1.7,4.3,5.2,
198,BS34A,,Acer saccharum,ACSA,283,,1939,,1.7,4.3,5.2,
199,BS34A,,Acer saccharum,ACSA,361,,1939,,1.7,4.3,5.2,
200,BS34A,,Acer saccharum,ACSA,391,,1939,,1.7,4.3,5.2,
201,BS34A,,Acer saccharum,ACSA,398,,1939,,1.7,4.3,5.2,
202,BS34A,,Acer saccharum,ACSA,433,,1939,,1.7,4.3,5.2,
203,BS34A,,Acer saccharum,ACSA,451,,1939,,1.7,4.3,5.2,
204,BS34A,,Acer saccharum,ACSA,455,,1939,,1.7,4.3,5.2,
205,BS34A,,Acer saccharum,ACSA,482,,1939,,1.7,4.3,5.2,
206,BS34A,,Acer saccharum,ACSA,515,,1939,,1.7,4.3,5.2,
207,BS34A,,Acer saccharum,ACSA,522,,1939,,1.7,4.3,5.2,
208,BS34A,,Acer saccharum,ACSA,530,,1939,,1.7,4.3,5.2,
209,BS34A,,Acer saccharum,ACSA,130,,1944,,1.7,4.3,5.2,
210,BS34A,,Acer saccharum,ACSA,302,,1944,,1.7,4.3,5.2,
211,BS34A,,Acer saccharum,ACSA,313,,1944,,1.7,4.3,5.2,
212,BS34A,,Acer saccharum,ACSA,360,,1944,,1.7,4.3,5.2,
213,BS34A,,Acer saccharum,ACSA,376,,1944,,1.7,4.3,5.2,
214,BS34A,,Acer saccharum,ACSA,441,,1944,,1.7,4.3,5.2,
215,BS34A,,Acer saccharum,ACSA,482,,1944,,1.7,4.3,5.2,
216,BS34A,,Acer saccharum,ACSA,486,,1944,,1.7,4.3,5.2,
217,BS34A,,Acer saccharum,ACSA,642,,1944,,1.7,4.3,5.2,
218,BS34A,,Acer saccharum,ACSA,313,,1949,,1.7,4.3,5.2,
219,BS34A,,Acer saccharum,ACSA,441,,1949,,1.7,4.3,5.2,
220,BS34A,,Acer saccharum,ACSA,467,,1949,,1.7,4.3,5.2,
221,BS34A,,Acer saccharum,ACSA,486,,1949,,1.7,4.3,5.2,
222,BS34A,,Acer saccharum,ACSA,130,,1954,,1.7,4.3,5.2,
223,BS34A,,Acer saccharum,ACSA,141,,1954,,1.7,4.3,5.2,
224,BS34A,,Acer saccharum,ACSA,304,,1954,,1.7,4.3,5.2,
225,BS34A,,Acer saccharum,ACSA,467,,1954,,1.7,4.3,5.2,
226,BS34A,,Acer saccharum,ACSA,486,,1954,,1.7,4.3,5.2,
227,BS34A,,Acer saccharum,ACSA,     40A,,1982,,1.7,4.3,5.2,
228,BS34A,,Acer saccharum,ACSA,     73B,,1982,,1.7,4.3,5.2,
229,BS34A,,Acer saccharum,ACSA,     87Y,,1982,,1.7,4.3,5.2,
230,BS34A,,Acer saccharum,ACSA,    100A,,1982,,1.7,4.3,5.2,
231,BS34A,,Acer saccharum,ACSA,    125A,,1982,,1.7,4.3,5.2,
232,BS34A,,Acer saccharum,ACSA,    173B,,1982,,1.7,4.3,5.2,
233,BS34A,,Acer saccharum,ACSA,    199A,,1982,,1.7,4.3,5.2,
234,BS34A,,Acer saccharum,ACSA,    247A,,1982,,1.7,4.3,5.2,
235,BS34A,,Acer saccharum,ACSA,    249A,,1982,,1.7,4.3,5.2,
236,BS34A,,Acer saccharum,ACSA,    290B,,1982,,1.7,4.3,5.2,
237,BS34A,,Acer saccharum,ACSA,    290C,,1982,,1.7,4.3,5.2,
238,BS34A,,Acer saccharum,ACSA,    409B,,1982,,1.7,4.3,5.2,
239,BS34A,,Acer saccharum,ACSA,    547A,,1982,,1.7,4.3,5.2,
240,BS34A,,Acer saccharum,ACSA,    581A,,1982,,1.7,4.3,5.2,
241,BS34A,,Acer saccharum,ACSA,    605B,,1982,,1.7,4.3,5.2,
242,BS34A,,Acer saccharum,ACSA,    612A,,1982,,1.7,4.3,5.2,
243,BS34A,,Acer saccharum,ACSA,15,,1934,,1.8,4.6,6,
244,BS34A,,Acer saccharum,ACSA,39,,1934,,1.8,4.6,6,
245,BS34A,,Acer saccharum,ACSA,117,,1934,,1.8,4.6,6,
