Plot,Date_sampled,CWD_subplot_ID,Species_code,Status,Length_m,Endpoint_1_diameter_cm,Midpoint_diameter_cm,Endpoint_2_diamteter_cm,Decay_class_whole_piece,Avg_diameter_cm,Avg_radius_cm,Avg_area_cm_squared,Density,Estimated_tapered_volume_cm_cubed,Estimated_mass_tapered_g
DNR3,2014-05-14,0,POGR,NA,0.48,6.2,6.6,5.3,4,6,3.016666667,28.58936581,0.267329766,14.42305187,3.855711075
DNR3,2014-05-14,0,POGR,NA,1.23,6.1,6.7,7.6,4,6.8,3.4,36.31681108,0.267329766,44.52477166,11.90279677
DNR3,2014-05-14,0,POGR,NA,0.36,5.8,6,6,4,5.9,2.966666667,27.64950601,0.267329766,10.01099915,2.676238056
DNR3,2014-05-14,0,POGR,NA,0.21,6.4,5.7,6,4,6,3.016666667,28.58936581,0.267329766,5.844697513,1.562461616
DNR3,2014-05-14,120,POGR,Stump,0.44,5,5.3,6.7,4,5.7,2.833333333,25.22000769,NA,10.83263035,NA
AC103,2014-05-08,120,Unknown,NA,1.84,6,7.3,5,2,6.1,3.05,29.22466566,0.431413192,59.70324567,25.75676779
AC103,2014-05-08,120,Unknown,NA,0.2,5.2,6.1,6,5,5.8,2.883333333,26.11797959,0.160673856,5.387307802,0.865599519
AC103,2014-05-08,120,ACRU,NA,0.54,6.2,6.7,14.7,3,9.2,4.6,66.47610055,0.31,34.23597718,10.61315293
AC103,2014-05-08,240,ACRU,NA,0.77,5,5.6,5.4,3,5.3,2.666666667,22.34021443,0.31,17.65082888,5.471756954
AC103,2014-05-08,0,POGR,NA,0.23,6.6,6.6,5,4,6.1,3.033333333,28.90614307,0.267329766,6.99203333,1.869178631
AC103,2014-05-08,120,POGR,NA,0.75,7,5.6,6.2,2,6.3,3.133333333,30.84345854,0.377954178,21.99900256,8.314614926
AC103,2014-05-08,120,POGR,NA,0.83,5,5.5,5.4,4,5.3,2.65,22.06183441,0.267329766,18.67202976,4.991589337
AC103,2014-05-08,240,POGR,NA,0.86,18.3,24.6,32.6,4,25.2,12.58333333,497.4406534,0.267329766,434.547007,116.1673495
AC103,2014-05-08,0,QURU,NA,0.25,5,9.2,5,5,6.4,3.2,32.16990877,0.2341,10.18661418,2.384686379
AC103,2014-05-08,120,QURU,NA,2.28,5,6.8,6.3,3,6,3.016666667,28.58936581,0.43043,69.8405892,30.06148481
AC103,2014-05-08,0,PIST,Stump,0.3,20.2,17.8,10.7,1,16.2,8.116666667,206.9689967,0.598686865,67.00349542,40.1141126
