50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
7,40.46,1917293.46,57.65,828898.65 ,,,,,0.5,1.0,,
7,40.89,1917293.89,57.95,828898.95 ,,,,,,0.5,0.3,
7,40.92,1917293.92,57.65,828898.65 ,,,,,,0.5,0.5,
7,46.93,1917299.93,64.88,828905.88 ,,0.5,0.5,0.5,1.0,2.0,,
7,58.48,1917311.48,26.00,828867.00 ,,,,,,0.5,0.6,0.7
7,59.43,1917312.43,1.68,828842.68 ,,,,,,0.5,0.5,
7,64.42,1917317.42,28.25,828869.25 ,,,1.0,,,,,
9,6.30,1917259.30,40.46,828881.46 ,0.5,,,,,,,
9,7.69,1917260.69,54.68,828895.68 ,0.5,0.5,1.0,1.0,,,,
9,7.72,1917260.72,54.25,828895.25 ,0.5,,,,,,,
9,8.02,1917261.02,54.48,828895.48 ,0.5,,,,,,,
9,8.22,1917261.22,40.26,828881.26 ,0.5,,,,,,,
9,8.68,1917261.68,43.36,828884.36 ,0.5,1.0,1.0,1.0,,,,
9,10.79,1917263.79,40.10,828881.10 ,0.5,,,,,,,
9,10.86,1917263.86,44.78,828885.78 ,0.5,,,,,,,
9,11.91,1917264.91,44.19,828885.19 ,,0.5,,,,,,
9,14.72,1917267.72,62.11,828903.11 ,,0.5,1.0,,,,,
9,15.15,1917268.15,41.58,828882.58 ,0.5,,,,,,,
9,16.80,1917269.80,62.07,828903.07 ,0.5,,,,,,,
9,17.99,1917270.99,61.12,828902.12 ,,0.5,1.0,,,,,
9,18.68,1917271.68,65.51,828906.51 ,1.0,,,,,,,
9,18.71,1917271.71,64.12,828905.12 ,1.0,,,,,,,
9,19.44,1917272.44,54.48,828895.48 ,0.5,1.0,1.0,,,,,
9,20.33,1917273.33,59.20,828900.20 ,,0.5,1.0,1.0,,,,
9,20.92,1917273.92,44.19,828885.19 ,,0.5,,,,,,
9,20.96,1917273.96,43.89,828884.89 ,,0.5,,,,,,
9,20.96,1917273.96,62.14,828903.14 ,1.0,,,,,,,
9,21.15,1917274.15,44.02,828885.02 ,,0.5,,,,,,
9,21.15,1917274.15,64.25,828905.25 ,1.0,,,,,,,
9,21.19,1917274.19,44.19,828885.19 ,,0.5,,,,,,
9,21.32,1917274.32,43.89,828884.89 ,,0.5,,,,,,
9,21.78,1917274.78,65.64,828906.64 ,0.5,,,,,,,
9,23.07,1917276.07,64.28,828905.28 ,0.5,0.5,,,,,,
9,23.93,1917276.93,63.92,828904.92 ,1.0,1.0,1.0,,,,,
9,24.62,1917277.62,61.51,828902.51 ,1.0,1.0,2.0,2.0,,,,
9,25.21,1917278.21,41.42,828882.42 ,0.5, ,,,,,,
9,28.31,1917281.31,56.79,828897.79 ,,0.5,1.0,,,,,
9,28.88,1917281.88,56.43,828897.43 ,,0.5,,,,,,
9,29.93,1917282.93,63.72,828904.72 ,,0.5,1.0,,,,,
9,29.96,1917282.96,64.81,828905.81 ,2.0,,,,,,,
9,30.69,1917283.69,65.24,828906.24 ,,0.5,,,,,,
9,31.85,1917284.85,58.71,828899.71 ,0.5,,,,,,,
9,32.21,1917285.21,38.84,828879.84 ,,0.5,1.0,,,,,
9,33.00,1917286.00,62.14,828903.14 ,1.0,,,,,,,
9,34.19,1917287.19,40.92,828881.92 ,0.5,0.5,,,,,,
9,34.22,1917287.22,46.70,828887.70 ,,,,1.0,,,,
9,37.19,1917290.19,65.74,828906.74 ,,0.5,,,,,,
9,37.42,1917290.42,66.00,828907.00 ,,0.5,,,,,,
9,37.75,1917290.75,65.60,828906.60 ,,0.5,,,,,,
9,43.23,1917296.23,64.68,828905.68 ,0.5,0.5,,,,,,
9,43.56,1917296.56,30.62,828871.62 ,,,,1.0,,,,
9,65.77,1917318.77,59.73,828900.73 ,0.5,,,,,,,
13,0.17,1917253.17,17.75,828858.75 ,,0.5,1.0,1.0, ,,,
13,0.20,1917253.20,18.48,828859.48 , ,0.5, , , , ,,
13,2.31,1917255.31,27.49,828868.49 ,,1.0,2.0,3.0,8.0,10.0,11.0,12.4
13,3.89,1917256.89,46.86,828887.86 ,,,,0.5,,,,
13,5.84,1917258.84,19.90,828860.90 ,4.0,,,,,,,
13,6.04,1917259.04,64.38,828905.38 ,,,,1.0,4.0,4.0,5.6,5.5
13,6.44,1917259.44,49.47,828890.47 ,,,,0.5,2.0,2.0,,
